Latitude,Longitude
43.94610515551468, -78.89689047103484
43.7941505773729, -79.23409612215592
43.79808764181799, -79.24109794416779
43.68305514705895, -79.61259685951389
40.71311368556177, -74.00697059991415
40.70737358786992, -74.03705268591365
43.72309928981432, 10.396918861934884
31.44984435746157, 74.2948720669557
31.39725627045541, 74.24491860738067
-22.906370055857444, -43.17582878527047
32.34500724783414, -6.377777414600216
51.07505403816377, 10.326064907481298
51.002434730408616, 10.239954664557079
43.66822932897605, -79.39013405831231
43.66316913598665, -79.39614220656708
43.65419633436468, -79.39060612756586
43.64317254565206, -79.38532754096494
43.6456880107646, -79.3811647524448
43.604522199098554, -79.50640537057679
43.59622440194544, -79.51657630723494
43.63324162076372, -79.41854533219808
34.073804752637884, -118.39836153869342
34.027722680103274, -118.40076479767585
33.9431738596147, -118.40763125263106
33.88156331684093, -118.3305796345781
33.85196597568801, -118.39491253680781
33.972356628469235, -118.41728865645995
34.021385511466676, -118.44587027527412
34.06005201875043, -118.4476489122542
34.07256584241218, -118.4417265949275
34.07434322425953, -118.43425932556462
34.04337698295397, -118.2918498826494
34.03076817623945, -118.27921325644769
34.01668305357215, -118.28809673206908
34.01888845439158, -118.28964168435105
43.64356700179825, -79.37835861349214
42.36636443866486, -71.06180268045242
34.0431419344906, -118.26635288133463
34.04051931793388, -118.27018307552983
43.94612942808622, -78.89815989395775
43.94440679891552, -78.89491978569971
43.943587953196186, -78.89705482392274
43.9434489027844, -78.89796677493325
43.941934777431555, -78.89711919688075
43.94138628372418, -78.89069262428457
43.940204301229016, -78.89415803821433
43.94802164394447, -78.8979917071415
43.937614241019524, -78.90132975804937
43.9426382246588, -78.88332515182174
43.944048605719836, -78.88121612040325